126	116	
130	153	
129	141	
130	102	
124	114	
120	151	
136	142	
133	105	
104	113	
130	151	
156	142	
126	106	
107	112	
99	150	
153	144	
158	104	
133	112	
86	149	
101	143	
149	106	
172	113	
134	151	
89	142	
93	105	
145	113	
175	150	
137	141	
87	103	
95	115	
144	151	
172	140	
133	105	
91	117	
100	153	
150	136	
166	103	
126	120	
89	153	
111	134	
155	101	
161	123	
115	154	
89	130	
119	103	
164	127	
154	154	
104	126	
89	102	
129	132	
170	152	
146	122	
94	103	
91	137	
143	151	
173	116	
135	106	
86	142	
100	148	
153	112	
169	109	
122	146	
82	142	
113	107	
163	115	
162	150	
108	137	
87	104	
125	122	
169	152	
149	130	
97	103	
94	129	
141	153	
170	122	
130	104	
88	137	
106	149	
156	116	
163	108	
111	144	
87	145	
126	108	
167	115	
145	149	
98	136	
96	105	
146	123	
164	152	
126	126	
89	104	
113	135	
161	151	
153	117	
106	107	
93	143	
137	146	
165	108	
134	116	
90	150	
108	135	
158	104	
156	125	
109	153	
91	124	
136	103	
166	138	
136	149	
90	113	
106	110	
158	147	
159	141	
110	105	
89	122	
133	152	
167	127	
137	104	
91	134	
105	151	
157	114	
158	109	
112	147	
86	141	
134	104	
166	121	
134	153	
87	127	
112	102	
160	136	
156	150	
105	112	
89	111	
142	148	
168	138	
129	104	
84	125	
116	154	
168	123	
148	104	
97	141	
96	147	
151	108	
164	115	
116	152	
88	133	
128	101	
167	133	
134	152	
92	115	
113	109	
160	147	
151	139	
99	104	
98	125	
147	154	
165	121	
114	105	
90	143	
131	144	
166	105	
134	120	
88	153	
115	126	
161	102	
147	139	
97	147	
103	108	
153	117	
157	152	
109	129	
91	103	
142	136	
164	149	
122	110	
89	114	
126	152	
165	131	
133	102	
91	136	
115	150	
164	111	
145	113	
95	151	
104	132	
153	103	
154	136	
102	149	
101	109	
147	115	
159	152	
112	129	
92	103	
140	137	
163	148	
123	109	
91	117	
129	153	
163	126	
130	104	
91	141	
120	145	
163	106	
140	122	
94	153	
112	122	
157	105	
148	145	
96	142	
108	104	
157	128	
150	152	
100	115	
100	110	
153	149	
155	134	
103	103	
100	134	
150	149	
158	110	
105	117	
95	152	
144	125	
163	105	
111	143	
92	142	
142	104	
163	127	
115	152	
91	116	
138	111	
164	149	
118	131	
90	104	
133	138	
164	146	
124	106	
90	123	
132	152	
163	119	
126	109	
89	148	
130	134	
165	104	
126	135	
88	147	
128	108	
163	121	
127	152	
92	120	
131	109	
158	147	
121	133	
96	104	
134	137	
158	145	
119	107	
98	124	
138	152	
155	117	
115	111	
96	149	
146	130	
152	105	
111	142	
101	143	
150	104	
155	129	
103	150	
101	112	
152	117	
152	152	
101	122	
102	108	
158	146	
148	135	
97	103	
